gov_fr,poverty_rate,illiteracy_rate,population
Sfax 1,8.3,17.1,514182
Sfax 2,8.3,17.1,514182
Monastir,8.6,11.7,611118
Mahdia,17.6,22.2,448273
Sousse,12.3,13.6,753670
Ariana,7.4,11.3,674025
Nabeul,6.7,15.7,873824
Tunis 1,4.6,11.2,539206
Médenine,19.3,16.2,522294
Tunis 2,4.6,11.2,539206
Ben Arous,5.3,10.3,721956
Bizerte,12.7,20.5,600012
Gabès,18.7,17.8,407078
Mannouba,18.0,16.7,426525
Zaghouan,16.2,26.9,191066
Siliana,27.8,32.1,229153
Béja,28.5,29.3,308710
Kef,29.5,26.4,247741
Kairouan,32.8,35.6,601915
Kasserine,33.5,32.7,465832
Sidi Bouzid,24.3,30.4,459891
Tozeur,20.3,15.4,116316
Tataouine,25.1,18.3,152069
Kébili,20.5,18.8,171478
Gafsa,24.6,21.2,355341
Jendouba,27.6,33.4,405167
